id,pzmc,qbly,sdlx,ycd,sdbh,average,muyx,mucs,heigh,length,count,counts,countl,weightq,acutey,acutes,acutesl,compreh,?blight,lugens,averagejml,wbl,chalkylv,chalkyd,clarity,cement,starch,rank,synthesis
1,甬优7850,甬粳78A×F9250,三系杂交稻,宁波市种子有限公司,浙审稻2015011,,,,,,,,,,,,,,,,,,,,,,,,
2,钱优930,钱江3号A×浙恢930,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2013018,,,,,,,,,,,,,,,,,,,,,,,,
3,中组9号,G02-187×中嘉早17,籼型常规稻,中国水稻研究所,浙审稻2012003,,,,,,,,,,,,,,,,,,,,,,,,
4,甬优1140,甬粳6号A×F7540,三系杂交稻,宁波市种子有限公司,浙审稻2015010,,,,,,,,,,,,,,,,,,,,,,,,
5,钱优1890,钱江1号A×T1890,籼型三系杂交稻,台州市农业科学研究院等,浙审稻2015009,,,,,,,,,,,,,,,,,,,,,,,,
6,秀水134,丙95-59//测212/RHT×丙03-123,粳型常规稻,嘉兴市农业科学研究院等,浙审稻2010003,,,,,,,,,,,,,,,,,,,,,,,,
7,赣香优9141,赣香A×浙恢9141,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2015008,,,,,,,,,,,,,,,,,,,,,,,,
8,钱3优982,钱江3号A×R982,籼型三系杂交稻,中国农业科学院作物科学研究所等,浙审稻2015007,,,,,,,,,,,,,,,,,,,,,,,,
9,钱优0618,钱江1号A×浙恢0618,籼型三系杂交稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2009009,,,,,,,,,,,,,,,,,,,,,,,,
10,钱优9号,钱江1号A×HKK9,籼型三系杂交稻,安徽绿雨种业股份有限公司,浙审稻2015006,,,,,,,,,,,,,,,,,,,,,,,,
11,钱优2015,钱江1号A×金恢2015,籼型三系杂交稻,金华市农业科学研究院等,浙审稻2015005,,,,,,,,,,,,,,,,,,,,,,,,
12,浙408,G9968×丰43,籼型常规稻,浙江省农业科学院作物与核技术利用研究所,浙审稻2007027,,,,,,,,,,,,,,,,,,,,,,,,
13,宁84,嘉花1号//宁175/丙98-110×丙05-012,粳型常规稻,宁波市农业科学研究院,浙审稻2015004,,,,,,,,,,,,,,,,,,,,,,,,
14,甬优4550,甬粳45A×F9250,粳型三系杂交稻,宁波市种子有限公司,浙审稻2015003,,,,,,,,,,,,,,,,,,,,,,,,
15,航天36,秀水1067,粳型常规稻,浙江省农业科学院作物与核技术利用研究所等,浙审稻2006017,,,,,,,,,,,,,,,,,,,,,,,,
